From,To,Cost_HP,Cost_Gas_Boiler
2023-01-01 00:00:00,2023-01-31 23:30:00,39174.82396229591,50426.58087988967
2023-02-01 00:00:00,2023-02-28 23:30:00,33877.919932863966,41666.33009063696
2023-03-01 00:00:00,2023-03-31 23:30:00,31988.647397509005,41977.023773558016
2023-04-01 00:00:00,2023-04-30 23:30:00,24104.92569448388,28111.22603993428
2023-05-01 00:00:00,2023-05-31 23:30:00,19578.84005290254,24815.23875380243
2023-06-01 00:00:00,2023-06-30 23:30:00,21148.967014014903,25223.714585357193
2023-07-01 00:00:00,2023-07-31 23:30:00,16793.241536136014,18499.46532357658
2023-08-01 00:00:00,2023-08-31 23:30:00,21649.31180225399,21865.57588108316
2023-09-01 00:00:00,2023-09-30 23:30:00,18250.0245829565,18934.314424917065
2023-10-01 00:00:00,2023-10-31 23:30:00,21326.852003961187,21556.6099978576
2023-11-01 00:00:00,2023-11-30 23:30:00,25949.927021236395,24975.261001580635
2023-12-01 00:00:00,2023-12-31 23:30:00,21811.600457653985,23966.29140971818
2023-10-01 00:00:00,2023-10-31 23:30:00,4505.454969314509,7900.832171586413
2023-12-01 00:00:00,2023-12-31 23:30:00,8324.768063847794,14076.984546656977
2023-11-01 00:00:00,2023-11-30 23:30:00,8709.264149871045,12143.794542268968
